id,hub_station_id,borne_id,heure_debut,heure_fin,kwh_consommes,origine,statut
session_1,hub_casablanca,hub_casablanca_borne_5,2025-01-01 17:07:00,2025-01-01 17:58:00,18.0,walk_in,terminee
session_2,hub_casablanca,hub_casablanca_borne_4,2025-01-01 21:26:00,2025-01-01 22:01:00,24.4,reservee,terminee
session_3,hub_casablanca,hub_casablanca_borne_3,2025-01-01 20:37:00,2025-01-01 21:50:00,17.4,walk_in,terminee
session_4,hub_casablanca,hub_casablanca_borne_6,2025-01-01 16:11:00,2025-01-01 17:03:00,6.5,reservee,terminee
session_5,hub_casablanca,hub_casablanca_borne_1,2025-01-01 19:43:00,2025-01-01 21:10:00,16.4,reservee,terminee
session_6,hub_casablanca,hub_casablanca_borne_3,2025-01-01 21:07:00,2025-01-01 22:00:00,12.9,walk_in,terminee
session_7,hub_casablanca,hub_casablanca_borne_5,2025-01-02 20:08:00,2025-01-02 20:41:00,5.3,walk_in,terminee
session_8,hub_casablanca,hub_casablanca_borne_4,2025-01-02 13:46:00,2025-01-02 14:38:00,24.9,reservee,terminee
session_9,hub_casablanca,hub_casablanca_borne_4,2025-01-02 22:39:00,2025-01-02 23:31:00,24.8,walk_in,terminee
session_10,hub_casablanca,hub_casablanca_borne_4,2025-01-02 19:32:00,2025-01-02 20:13:00,6.1,reservee,terminee
session_11,hub_casablanca,hub_casablanca_borne_6,2025-01-02 20:24:00,2025-01-02 21:43:00,13.2,reservee,terminee
session_12,hub_casablanca,hub_casablanca_borne_2,2025-01-02 18:39:00,2025-01-02 19:37:00,32.4,walk_in,terminee
session_13,hub_casablanca,hub_casablanca_borne_5,2025-01-02 17:48:00,2025-01-02 18:19:00,5.8,reservee,terminee
session_14,hub_casablanca,hub_casablanca_borne_5,2025-01-03 19:26:00,2025-01-03 20:12:00,15.6,walk_in,terminee
session_15,hub_casablanca,hub_casablanca_borne_3,2025-01-03 12:05:00,2025-01-03 12:33:00,38.7,walk_in,terminee
session_16,hub_casablanca,hub_casablanca_borne_5,2025-01-03 16:57:00,2025-01-03 18:11:00,30.1,reservee,terminee
session_17,hub_casablanca,hub_casablanca_borne_3,2025-01-04 15:34:00,2025-01-04 16:06:00,35.0,walk_in,terminee
session_18,hub_casablanca,hub_casablanca_borne_5,2025-01-04 14:37:00,2025-01-04 15:37:00,27.7,reservee,terminee
session_19,hub_casablanca,hub_casablanca_borne_5,2025-01-04 14:02:00,2025-01-04 14:56:00,16.5,reservee,terminee
session_20,hub_casablanca,hub_casablanca_borne_1,2025-01-04 10:10:00,2025-01-04 11:34:00,25.3,reservee,terminee
session_21,hub_casablanca,hub_casablanca_borne_5,2025-01-05 19:28:00,2025-01-05 20:53:00,25.0,reservee,terminee
session_22,hub_casablanca,hub_casablanca_borne_2,2025-01-05 11:30:00,2025-01-05 12:20:00,5.8,walk_in,terminee
session_23,hub_casablanca,hub_casablanca_borne_1,2025-01-05 14:08:00,2025-01-05 15:06:00,8.8,walk_in,terminee
session_24,hub_casablanca,hub_casablanca_borne_2,2025-01-05 14:42:00,2025-01-05 15:55:00,8.8,walk_in,terminee
session_25,hub_casablanca,hub_casablanca_borne_3,2025-01-05 10:02:00,2025-01-05 11:00:00,18.0,walk_in,terminee
session_26,hub_casablanca,hub_casablanca_borne_5,2025-01-06 16:09:00,2025-01-06 16:32:00,20.2,walk_in,terminee
session_27,hub_casablanca,hub_casablanca_borne_3,2025-01-06 18:44:00,2025-01-06 20:06:00,36.3,reservee,terminee
session_28,hub_casablanca,hub_casablanca_borne_2,2025-01-06 18:39:00,2025-01-06 19:25:00,8.3,walk_in,terminee
session_29,hub_casablanca,hub_casablanca_borne_6,2025-01-06 18:55:00,2025-01-06 19:31:00,9.3,walk_in,terminee
session_30,hub_casablanca,hub_casablanca_borne_1,2025-01-07 19:57:00,2025-01-07 20:52:00,10.0,reservee,terminee
session_31,hub_casablanca,hub_casablanca_borne_6,2025-01-07 22:07:00,2025-01-07 23:14:00,9.3,reservee,terminee
session_32,hub_casablanca,hub_casablanca_borne_5,2025-01-07 14:11:00,2025-01-07 15:27:00,30.0,walk_in,terminee
session_33,hub_casablanca,hub_casablanca_borne_1,2025-01-07 18:07:00,2025-01-07 19:31:00,18.9,reservee,terminee
session_34,hub_casablanca,hub_casablanca_borne_3,2025-01-08 18:37:00,2025-01-08 19:04:00,9.9,reservee,terminee
session_35,hub_casablanca,hub_casablanca_borne_4,2025-01-08 22:35:00,2025-01-09 00:00:00,33.2,reservee,terminee
session_36,hub_casablanca,hub_casablanca_borne_5,2025-01-08 18:06:00,2025-01-08 19:24:00,32.9,reservee,terminee
session_37,hub_casablanca,hub_casablanca_borne_1,2025-01-08 17:35:00,2025-01-08 18:55:00,26.1,reservee,terminee
session_38,hub_casablanca,hub_casablanca_borne_3,2025-01-09 14:48:00,2025-01-09 15:15:00,7.3,reservee,terminee
session_39,hub_casablanca,hub_casablanca_borne_4,2025-01-09 19:48:00,2025-01-09 20:29:00,10.0,walk_in,terminee
session_40,hub_casablanca,hub_casablanca_borne_1,2025-01-09 16:09:00,2025-01-09 16:37:00,5.7,reservee,terminee
session_41,hub_casablanca,hub_casablanca_borne_5,2025-01-09 18:03:00,2025-01-09 19:04:00,28.8,reservee,terminee
session_42,hub_casablanca,hub_casablanca_borne_2,2025-01-09 18:51:00,2025-01-09 20:10:00,6.5,reservee,terminee
session_43,hub_casablanca,hub_casablanca_borne_1,2025-01-10 15:22:00,2025-01-10 16:18:00,8.6,walk_in,terminee
session_44,hub_casablanca,hub_casablanca_borne_1,2025-01-10 19:05:00,2025-01-10 20:24:00,36.6,walk_in,terminee
session_45,hub_casablanca,hub_casablanca_borne_5,2025-01-10 16:45:00,2025-01-10 17:49:00,32.3,reservee,terminee
session_46,hub_casablanca,hub_casablanca_borne_4,2025-01-11 08:24:00,2025-01-11 09:00:00,17.9,reservee,terminee
